col_1|col_2|col_3
1|強化盾|SI254
2|溢補盾|SI217
3|剋屬盾∣棄攻轉屬|SI048
4|召喚小怪|SI164
5|雙體共生|SI163
6|光暗屬轉換．心剋轉當前|SI049SI047
7|光暗屬轉換．心剋轉當前∣吸取生命|SI049SI047
12|連擊|SI167
13|中毒7-5%|SI135
14|中毒15%|SI135
15|越戰越強．銀|SI188
16|越戰越強．金|SI188
17|反彈15%|SI260
18|反彈25%|SI260
19|相剋強化盾∣破盾轉屬|SI254
20|三屬轉換∣吸收|SI049SI047
21|隨機Combo追擊盾|SI110
22|隨機Combo追擊盾∣強|SI110
23|隨機Combo追擊盾∣轉|SI110
24|隨機Combo追擊盾∣強∣轉|SI110
25|人類防禦50%|SI075
26|龍類剋制∣防|SI077
27|神族剋制∣防|SI073
28|妖精剋制∣防|SI078
29|獸類剋制∣防|SI076
30|人類剋制．攻|SI069
31|龍類剋制．攻|SI071
32|神族剋制．攻|SI067
33|妖精剋制．攻|SI072
34|獸類剋制．攻|SI070
35|扣血70%|SI129
36|扣血40%|SI127
37|扣血50%|SI128
38|2秒轉珠|SI165
39|召喚小怪∣2秒轉珠|SI164SI165
40|中毒20%|SI135
41|中毒30%|SI135
42|中毒40%|SI135
43|中毒50%|SI135
44|反彈35%|SI260
45|技能封鎖|SI122
46|3~6回技能封鎖|SI122
47|2~4回技能封鎖|SI122
48|無限回復|SI212
49|黑白符石|SI215
50|無法控制|SI124
51|無視減傷|SI251
52|攻前盾|SI250
53|1Combo盾|SI091
54|2Combo盾|SI092
55|3Combo盾|SI093
56|4Combo盾|SI094
57|5Combo盾|SI095
58|6Combo盾|SI096
59|先攻|SI160
60|三連擊|SI167
61|二員技能重置|SI121
62|三員技能重置|SI121
63|四員技能重置|SI121
64|五員技能重置|SI121
65|技能重置|SI121
66|初級拼圖盾|SI181
67|高級拼圖盾|SI181
68|初級拼圖盾∣限|SI181
69|50%血上盾∣主動外|SI256
70|同屬強化盾|SI254
71|相剋外防禦50%|SI250
72|扣血30%|SI126
73|扣血80%|SI130
74|扣血90%|SI131
75|三屬盾|SI242
76|光暗盾|SI241
77|五屬盾|SI244
78|強制自爆5000|SI168
79|強制自爆10000|SI168
80|強制自爆20000|SI168
81|回復4000|SI214
82|回復5000|SI214
83|回復6000|SI214
84|逢二回復2000|SI214
85|逢二回復3000|SI214
86|逢二回復4000|SI214
87|技能回復|SI125
88|逢三技能回復|SI125
89|逢四技能回復|SI125
90|隨機轉化|SI046
91|逢二隨機轉化|SI046
92|逢三隨機轉化|SI046
93|不倒意志20%|SI261
94|不倒意志30%|SI261
95|不倒意志40%|SI261
96|隊長技封鎖|SI160
97|問號符石4∣5%|SI224
98|問號符石4∣10%|SI224
99|問號符石4∣15%|SI224
100|水轉自身|SI047
101|火轉自身|SI047
102|木轉自身|SI047
103|光轉自身|SI047
104|暗轉自身|SI047
105|心轉自身|SI047
106|水轉相剋|SI047
107|火轉相剋|SI047
108|木轉相剋|SI047
109|光轉相剋|SI047
110|暗轉相剋|SI047
111|心轉相剋|SI047
112|復活變強|SI216
113|命懸一線|SI161
114|3↑Combo盾|SI101
115|4↑Combo盾|SI102
116|5↑Combo盾|SI103
117|6↑Combo盾|SI104
118|問號符石3∣5%|SI224
119|問號符石3∣10%|SI224
120|問號符石3∣15%|SI224
121|問號符石5∣5%|SI224
122|問號符石5∣10%|SI224
123|問號符石5∣15%|SI224
124|自爆5000|SI168
125|自爆10000|SI168
126|自爆20000|SI168
127|不倒意志20%∣5倍回復|SI261
128|強化防禦盾|SI230
129|強化防禦75%|SI231
130|不倒意志20%∣10倍回復|SI261
131|單體無效|SI257
132|全體攻擊零化|SI257
133|魔族剋制∣防|SI074
134|魔族剋制．攻|SI068
135|水外防禦75%|SI001
136|火外防禦75%|SI002
137|木外防禦75%|SI003
138|光外防禦75%|SI004
139|暗外防禦75%|SI005
140|人外防禦75%|SI063
141|獸外防禦75%|SI064
142|龍外防禦75%|SI065
143|神外防禦75%|SI061
144|魔外防禦75%|SI062
145|妖外防禦75%|SI066
146|血防同步∣低|SI252
147|20%盾|SI257
148|10%盾|SI257
149|25%盾|SI257
150|50%盾|SI257
151|自爆2000|SI168
152|自爆5000∣隊長減傷|SI168
153|自爆10000∣隊長減傷|SI168
154|自爆20000∣隊長減傷|SI168
155|自爆5000∣主動減傷|SI168
156|自爆10000∣主動減傷|SI168
157|自爆20000∣主動減傷|SI168
158|自爆5000∣弱|SI168
159|自爆10000∣弱|SI168
160|自爆20000∣弱|SI168
161|扣血30%∣隊長減傷|SI126
162|扣血50%∣隊長減傷|SI128
163|扣血70%∣隊長減傷|SI129
164|扣血90%∣隊長減傷|SI131
165|扣血30%∣主動減傷|SI126
166|扣血50%∣主動減傷|SI128
167|扣血70%∣主動減傷|SI129
168|扣血90%∣主動減傷|SI131
169|扣血30%∣弱|SI126
170|扣血50%∣弱|SI128
171|扣血70%∣弱|SI129
172|扣血90%∣弱|SI131
173|3-Combo盾|SI097
174|4-Combo盾|SI098
175|5-Combo盾|SI099
176|6-Combo盾|SI100
177|越戰越強∣鐵|SI188
178|越戰越強．銅|SI188
179|自爆2000∣隊長減傷|SI168
180|自爆2000∣主動減傷|SI168
181|自爆2000∣弱|SI168
182|轉屬∣剋屬禁消∣光暗防禦50%|SI048SI004SI005
183|順序攻擊|SI276
184|順序攻擊|SI276
185|風化．先|SI221
186|風化．後|SI221
187|風化3000∣轉|SI221
188|風化3000-後|SI221
189|風化3000-先|SI221
190|反擊300|SI216
191|反擊500|SI216
192|反擊1000|SI216
193|反擊2000|SI216
194|反擊3000|SI216
195|反擊4000|SI216
196|反擊5000|SI216
197|隨機三屬盾∣轉|SI242
198|隨機四屬盾∣轉|SI243
199|水強火木盾|SI242
200|火強水木盾|SI242
201|木強水火盾|SI242
202|光強暗珠盾|SI241
203|暗強光珠盾|SI241
204|風化∣轉|SI221
205|垂死反擊300|SI216
206|垂死反擊500|SI216
207|垂死反擊1000|SI216
208|垂死反擊2000|SI216
209|垂死反擊3000|SI216
210|垂死反擊4000|SI216
211|垂死反擊5000|SI216
212|5↑水符石盾|SI031
213|10↑水符石盾|SI031
214|15↑水符石盾|SI031
215|5↑火符石盾|SI032
216|10↑火符石盾|SI032
217|15↑火符石盾|SI032
218|5↑木符石盾|SI033
219|10↑木符石盾|SI033
220|15↑木符石盾|SI033
221|5↑光符石盾|SI034
222|10↑光符石盾|SI034
223|15↑光符石盾|SI034
224|5↑暗符石盾|SI035
225|10↑暗符石盾|SI035
226|15↑暗符石盾|SI035
227|隨機三屬盾．先|SI242
228|隨機四屬盾．先|SI243
229|雙重風化20%∣追擊∣溢補盾|SI221SI217
230|技能回復∣風化%盾|SI125SI222
231|雙重風化20%∣追擊∣溢補盾|SI221SI217
232|雙重風化20%∣追擊∣溢補盾|SI221SI217
233|雙重風化20%∣追擊∣溢補盾|SI221SI217
234|雙重風化30%∣追擊∣溢補盾|SI221SI217
235|雙重風化30%∣追擊∣溢補盾|SI221SI217
236|雙重風化30%∣追擊∣溢補盾|SI221SI217
237|光強水火盾|SI244
238|光強水木盾|SI244
239|光強火木盾|SI244
240|暗強水火盾|SI244
241|暗強水木盾|SI244
242|暗強火木盾|SI244
243|雙重風化30%∣追擊∣溢補盾|SI221SI217
244|水轉心|SI047
245|火轉心|SI047
246|木轉心|SI047
247|光轉心|SI047
248|暗轉心|SI047
249|5擊盾|SI250
250|15擊盾|SI250
251|20擊盾|SI250
252|問號．結|SI224
253|全體共生|SI163
254|全體無限回復|SI212
255|5↑心符石盾|SI036
256|10↑心符石盾|SI036
257|15↑心符石盾|SI036
258|6↑水符石盾|SI031
259|9↑水符石盾|SI031
260|12↑水符石盾|SI031
261|6↑火符石盾|SI032
262|9↑火符石盾|SI032
263|12↑火符石盾|SI032
264|6↑木符石盾|SI033
265|9↑木符石盾|SI033
266|12↑木符石盾|SI033
267|6↑光符石盾|SI034
268|9↑光符石盾|SI034
269|12↑光符石盾|SI034
270|6↑暗符石盾|SI035
271|9↑暗符石盾|SI035
272|12↑暗符石盾|SI035
273|6↑心符石盾|SI036
274|9↑心符石盾|SI036
275|12↑心符石盾|SI036
276|越轉越強|SI188
277|首回回復∣缺血盾|SI214SI256
278|7↑Combo盾|SI105
279|7↑Combo追擊盾|SI105
280|8↑Combo盾|SI106
281|8↑Combo追擊盾|SI106
282|越攻越強|SI188
283|越戰越強∣白金|SI188
284|無限回復∣越攻越強|SI212SI188
285|問號∣轉|SI224
286|迷惑符石|SI227
287|攻擊變1∣無限回復|SI158SI212
288|主動盾|SI257
289|消光敵回30%∣消暗扣血30%∣復活∣主動盾|SI056SI216SI257
290|隱身|SI250
291|能力繼承|SI163
292|神族剋制．攻．鎖|SI122
293|10秒轉珠|SI166
294|20秒轉珠|SI166
295|30秒轉珠|SI166
