col1|col2|col3|col4|col5|col6|col7|col8
1031|1|50|4|200|0|0.00|0
1031|2|100|14|3,10|0|0.00|0
1031|3|200|5|150|0|0.00|0
1031|4|400|14|4,10|0|0.00|0
1032|1|50|4|200|0|0.00|0
1032|2|100|14|3,10|0|0.00|0
1032|3|200|5|150|0|0.00|0
1032|4|400|14|4,10|0|0.00|0
1406|1|50|4|200|0|0.00|0
1406|2|100|14|3,10|0|0.00|0
1406|3|200|5|150|0|0.00|0
1406|4|400|14|4,10|0|0.00|0
1033|1|50|4|200|0|0.00|0
1033|2|100|14|3,10|0|0.00|0
1033|3|200|5|150|0|0.00|0
1033|4|400|14|4,10|0|0.00|0
1034|1|50|4|200|0|0.00|0
1034|2|100|14|3,10|0|0.00|0
1034|3|200|5|150|0|0.00|0
1034|4|400|14|4,10|0|0.00|0
1407|1|50|4|200|0|0.00|0
1407|2|100|14|3,10|0|0.00|0
1407|3|200|5|150|0|0.00|0
1407|4|400|14|4,10|0|0.00|0
1035|1|50|4|200|0|0.00|0
1035|2|100|14|3,10|0|0.00|0
1035|3|200|5|150|0|0.00|0
1035|4|400|14|4,10|0|0.00|0
1036|1|50|4|200|0|0.00|0
1036|2|100|14|3,10|0|0.00|0
1036|3|200|5|150|0|0.00|0
1036|4|400|14|4,10|0|0.00|0
1408|1|50|4|200|0|0.00|0
1408|2|100|14|3,10|0|0.00|0
1408|3|200|5|150|0|0.00|0
1408|4|400|14|4,10|0|0.00|0
1037|1|50|4|200|0|0.00|0
1037|2|100|14|3,10|0|0.00|0
1037|3|200|5|150|0|0.00|0
1037|4|400|14|4,10|0|0.00|0
1038|1|50|4|200|0|0.00|0
1038|2|100|14|3,10|0|0.00|0
1038|3|200|5|150|0|0.00|0
1038|4|400|14|4,10|0|0.00|0
1409|1|50|4|200|0|0.00|0
1409|2|100|14|3,10|0|0.00|0
1409|3|200|5|150|0|0.00|0
1409|4|400|14|4,10|0|0.00|0
1039|1|50|4|200|0|0.00|0
1039|2|100|14|3,10|0|0.00|0
1039|3|200|5|150|0|0.00|0
1039|4|400|14|4,10|0|0.00|0
1040|1|50|4|200|0|0.00|0
1040|2|100|14|3,10|0|0.00|0
1040|3|200|5|150|0|0.00|0
1040|4|400|14|4,10|0|0.00|0
1410|1|50|4|200|0|0.00|0
1410|2|100|14|3,10|0|0.00|0
1410|3|200|5|150|0|0.00|0
1410|4|400|14|4,10|0|0.00|0
1041|5|0|10010|10010|1|1.10|4365
1041|1|50|6|50|0|0.00|0
1041|2|150|14|4,10|0|0.00|0
1041|3|300|5|120|0|0.00|0
1041|4|500|21|1,25|0|0.00|0
1042|5|0|10011|10011|1|1.10|4368
1042|1|50|5|90|0|0.00|0
1042|2|150|22|592|0|0.00|0
1042|3|300|4|340|0|0.00|0
1042|4|500|22|180|0|0.00|0
1043|5|0|10012|10012|1|1.10|4364
1043|1|50|6|50|0|0.00|0
1043|2|150|9|2|0|0.00|0
1043|3|300|5|120|0|0.00|0
1043|4|500|14|4,10|0|0.00|0
1044|5|0|10013|10013|1|1.10|4366
1044|1|50|5|90|0|0.00|0
1044|2|150|22|592|0|0.00|0
1044|3|300|4|340|0|0.00|0
1044|4|500|22|180|0|0.00|0
1045|5|0|10014|10014|1|1.10|4367
1045|1|50|5|90|0|0.00|0
1045|2|150|14|4,10|0|0.00|0
1045|3|300|4|340|0|0.00|0
1045|4|500|22|845|0|0.00|0
1056|1|50|4|300|0|0.00|0
1056|2|150|21|1,25|0|0.00|0
1056|3|300|5|180|0|0.00|0
1056|4|500|32|3,1,15|0|0.00|0
1057|1|50|4|300|0|0.00|0
1057|2|150|21|1,25|0|0.00|0
1057|3|300|5|180|0|0.00|0
1057|4|500|32|3,1,15|0|0.00|0
1336|1|50|4|300|0|0.00|0
1336|2|150|21|1,25|0|0.00|0
1336|3|300|5|180|0|0.00|0
1336|4|500|32|3,1,15|0|0.00|0
1058|1|50|5|140|0|0.00|0
1058|2|150|14|3,10|0|0.00|0
1058|3|300|4|340|0|0.00|0
1058|4|500|21|2,40|0|0.00|0
1059|1|50|5|140|0|0.00|0
1059|2|150|14|3,10|0|0.00|0
1059|3|300|4|340|0|0.00|0
1059|4|500|21|2,40|0|0.00|0
1337|1|50|5|140|0|0.00|0
1337|2|150|14|3,10|0|0.00|0
1337|3|300|4|340|0|0.00|0
1337|4|500|21|2,40|0|0.00|0
1060|1|50|5|140|0|0.00|0
1060|2|150|14|3,10|0|0.00|0
1060|3|300|4|340|0|0.00|0
1060|4|500|14|3,10|0|0.00|0
1061|1|50|5|140|0|0.00|0
1061|2|150|14|3,10|0|0.00|0
1061|3|300|4|340|0|0.00|0
1061|4|500|14|3,10|0|0.00|0
1338|1|50|5|140|0|0.00|0
1338|2|150|14|3,10|0|0.00|0
1338|3|300|4|340|0|0.00|0
1338|4|500|14|3,10|0|0.00|0
1062|1|50|4|300|0|0.00|0
1062|2|150|14|3,10|0|0.00|0
1062|3|300|5|180|0|0.00|0
1062|4|500|14|3,10|0|0.00|0
1063|1|50|4|300|0|0.00|0
1063|2|150|14|3,10|0|0.00|0
1063|3|300|5|180|0|0.00|0
1063|4|500|14|3,10|0|0.00|0
1339|1|50|4|300|0|0.00|0
1339|2|150|14|3,10|0|0.00|0
1339|3|300|5|180|0|0.00|0
1339|4|500|14|3,10|0|0.00|0
1064|1|50|5|140|0|0.00|0
1064|2|150|33|3,5,15|0|0.00|0
1064|3|300|4|340|0|0.00|0
1064|4|500|32|3,5,15|0|0.00|0
1065|1|50|5|140|0|0.00|0
1065|2|150|33|3,5,15|0|0.00|0
1065|3|300|4|340|0|0.00|0
1065|4|500|32|3,5,15|0|0.00|0
1340|1|50|5|140|0|0.00|0
1340|2|150|33|3,5,15|0|0.00|0
1340|3|300|4|340|0|0.00|0
1340|4|500|32|3,5,15|0|0.00|0
1082|1|100|5|120|0|0.00|0
1082|2|200|14|4,10|0|0.00|0
1082|3|350|4|550|0|0.00|0
1082|4|600|8|2|0|0.00|0
1084|1|100|6|50|0|0.00|0
1084|2|200|14|4,10|0|0.00|0
1084|3|350|5|120|0|0.00|0
1084|4|600|8|2|0|0.00|0
1086|1|100|4|200|0|0.00|0
1086|2|200|14|4,10|0|0.00|0
1086|3|350|5|160|0|0.00|0
1086|4|600|8|2|0|0.00|0
1087|1|100|5|120|0|0.00|0
1087|2|200|10|902|0|0.00|0
1087|3|350|4|380|0|0.00|0
1087|4|600|11|874|0|0.00|0
1088|1|100|5|120|0|0.00|0
1088|2|200|14|4,10|0|0.00|0
1088|3|350|4|380|0|0.00|0
1088|4|600|8|1|0|0.00|0
1091|1|50|4|110|0|0.00|0
1091|2|150|14|4,10|0|0.00|0
1091|3|300|5|110|0|0.00|0
1091|4|500|21|6,25|0|0.00|0
1092|1|50|5|150|0|0.00|0
1092|2|150|15|4,10|0|0.00|0
1092|3|300|4|220|0|0.00|0
1092|4|500|14|4,10|0|0.00|0
1093|1|50|4|110|0|0.00|0
1093|2|150|15|4,10|0|0.00|0
1093|3|300|5|110|0|0.00|0
1093|4|500|14|4,10|0|0.00|0
1094|1|50|6|60|0|0.00|0
1094|2|150|14|4,10|0|0.00|0
1094|3|300|5|150|0|0.00|0
1094|4|500|9|2|0|0.00|0
1095|1|50|4|80|0|0.00|0
1095|2|150|14|3,5|0|0.00|0
1095|3|300|5|200|0|0.00|0
1095|4|500|14|4,10|0|0.00|0
1096|1|50|4|110|0|0.00|0
1096|2|150|15|4,10|0|0.00|0
1096|3|300|5|110|0|0.00|0
1096|4|500|14|4,10|0|0.00|0
1097|1|50|4|110|0|0.00|0
1097|2|150|15|4,10|0|0.00|0
1097|3|300|5|110|0|0.00|0
1097|4|500|14|4,10|0|0.00|0
1101|1|50|4|90|0|0.00|0
1101|2|150|9|2|0|0.00|0
1101|3|300|5|180|0|0.00|0
1101|4|500|14|3,10|0|0.00|0
1102|1|50|4|90|0|0.00|0
1102|2|150|9|2|0|0.00|0
1102|3|300|5|180|0|0.00|0
1102|4|500|14|3,10|0|0.00|0
1351|1|50|4|90|0|0.00|0
1351|2|150|9|2|0|0.00|0
1351|3|300|5|180|0|0.00|0
1351|4|500|14|3,10|0|0.00|0
1103|1|50|4|90|0|0.00|0
1103|2|150|9|2|0|0.00|0
1103|3|300|5|180|0|0.00|0
1103|4|500|14|3,10|0|0.00|0
1104|1|50|4|90|0|0.00|0
1104|2|150|9|2|0|0.00|0
1104|3|300|5|180|0|0.00|0
1104|4|500|14|3,10|0|0.00|0
1352|1|50|4|90|0|0.00|0
1352|2|150|9|2|0|0.00|0
