col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18|col_19|col_20|col_21|col_22|col_23|col_24|col_25|col_26|col_27|col_28|col_29|col_30|col_31|col_32|col_33|col_34|col_35|col_36|col_37
1|1|1|67|0|3||Mobilizing Runestones|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@102#0|
2|1|2|128|0|3||First Blood|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@76#0:78#0:80#0:264#0|
3|1|3|156|0|3||Triggering Runestone Combo|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0||
6|2|1|56|3|3||Resolution to Ascend the Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@56#0:96#0:98#0:100#0:264#0|
7|2|2|103|3|3||FIrst Brush with Apocalypse|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@96#0:98#0:100#0:264#0|
8|2|3|105|5|5||Becoming Hope of the World|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@96#0:98#0:100#0:264#0|
9|3|1|66|3|3||The Frozen Spring|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:66#0:96#0:241#0:270#0|
10|3|2|106|3|3||Wolves' Cave of Water|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:96#0:106#0:241#0:270#0|
11|3|3|86|5|5||The Spring Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@21#1:56#0:86#0:96#0:241#0:270#0|
12|4|1|68|3|3||The Bloody Desert|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:68#0:98#0:242#0:271#0|
13|4|2|108|3|3||Wolves' Cave of Fire|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:98#0:108#0:242#0:271#0|
14|4|3|88|5|5||The Ruby Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@25#1:58#0:88#0:98#0:242#0:271#0|
15|5|1|70|3|3||The Emerald Creature|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:70#0:100#0:243#0:272#0|
16|5|2|110|3|3||Woods of Wolves|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:100#0:110#0:243#0:272#0|
17|5|3|90|5|5||The Rocky Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@29#1:60#0:90#0:100#0:243#0:272#0|
18|6|1|72|3|3||The Shrine of Light|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:72#0:102#0:244#0:273#0|
19|6|2|112|3|3||Cry of the Wolf|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:102#0:112#0:244#0:273#0|
20|6|3|102|5|5||The Starlight Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@33#1:62#0:92#0:102#0:244#0:273#0|
21|7|1|74|3|3||The Phantom Maze|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:74#0:104#0:245#0:274#0|
22|7|2|114|3|3||Dark Night of Wolves|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:104#0:114#0:245#0:274#0|
23|7|3|104|5|5||The Black Stone Tower|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@37#1:64#0:94#0:104#0:245#0:274#0|
24|8|1|66|5|5||Aim of the Ancient Stylites|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:56#0:58#0:60#0:62#0:64#0:66#0:68#0:70#0:72#0:74#0:261#0:267#0|
25|8|2|76|5|5||Shortcut of Becoming God|0|0|0|0|||0|0||0||0|0|0|0|0|0|0||0|0||0|0|0|0|0|3@1#1:5#1:9#1:13#1:17#1:56#0:58#0:60#0:62#0:64#0:66#0:68#0:70#0:72#0:74#0:76#0:78#0:261#0:267#0|
