col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18
1|481|6|4|6|0|0|0|0||1025|2532|684|1265|269|613|0|0
2|482|6|4|6|0|-30|0|0||1017|2516|739|1366|232|529|0|0
3|483|6|4|6|0|-5|0|0||1148|2775|617|1141|272|619|0|0
4|484|6|4|4|10|-5|0|0||1089|2658|617|1141|294|669|0|0
5|485|6|4|6|0|-25|0|0||1023|2528|783|1448|227|517|0|0
6|296|6|4|6|-5|-10|0|0||657|1180|667|1059|153|542|0|0
7|299|6|4|6|0|10|0|0||691|1242|713|1126|136|493|0|0
8|302|6|4|6|5|-5|0|0||760|1365|614|984|143|513|0|0
9|305|6|4|5|0|-10|0|0||684|1229|621|993|157|554|0|0
10|308|6|4|6|-5|-10|0|0||549|1086|552|893|136|493|0|0
11|408|6|4|6|0|-20|0|0||1186|2260|640|1231|158|384|0|0
12|409|6|4|6|0|-10|0|0||1153|2286|645|1278|162|368|0|0
13|410|6|4|5|-20|-15|0|0||1371|2613|589|1134|147|359|0|0
14|411|6|4|6|0|-15|0|0||1235|2355|595|1146|162|395|0|0
15|412|6|4|6|0|-15|0|0||1161|2213|703|1353|146|356|0|0
16|408|6|4|5|0|0|0|0||867|1956|701|1288|212|445|0|0
17|1091|6|4|5|0|0|0|0||1124|2145|650|1240|288|651|0|0
18|1092|6|4|5|10|-10|0|0||1347|2670|838|1550|152|347|0|0
19|1093|6|4|5|0|0|0|0||1241|2368|610|1165|277|626|0|0
20|1094|6|4|5|0|-15|0|0||1275|2527|654|1296|218|495|0|0
21|1095|6|4|5|0|-5|0|0||708|1329|1178|2127|79|360|0|0
22|1096|6|4|5|0|0|0|0||1255|2395|629|1200|269|608|0|0
23|1097|6|4|5|0|-20|0|0||1266|2416|778|1485|266|601|0|0
26|1134|6|4|5|-15|0|0|0||1372|2720|871|1610|185|421|0|0
27|1189|6|4|5|10|-10|0|0||1768|3504|878|1624|242|550|0|0
28|1190|6|4|5|0|-20|0|0||1831|3630|933|1725|199|452|0|0
29|1216|6|4|6|0|10|0|0||1722|3413|806|1490|207|472|0|0
30|1217|6|4|6|0|-5|0|0||1776|3521|836|1545|178|406|0|0
31|1218|6|4|6|0|-5|0|0||1947|3860|718|1328|191|434|0|0
32|1219|6|4|6|0|-5|0|0||1841|3649|728|1346|214|487|0|0
33|1220|6|4|4|0|-30|0|0||1667|3305|887|1640|182|415|0|0
34|1164|6|4|6|0|-5|0|0||1341|2658|836|1657|179|407|0|0
35|1198|6|4|6|0|-5|0|0||930|1745|1293|2335|79|358|0|0
36|595|6|4|5|0|-30|0|0||1055|2014|623|1189|380|859|0|0
37|1089|6|4|5|0|-30|0|0||1161|2215|657|1254|402|909|0|0
38|1046|6|4|6|0|-10|0|0||1241|2460|682|1352|227|515|0|0
39|1047|6|4|5|0|-5|0|0||1315|2606|772|1530|180|408|0|0
40|1048|6|4|6|0|-5|0|0||1485|2944|666|1320|172|390|0|0
