col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18|col_19|col_20|col_21|col_22|col_23|col_24
1|0|2|6|0||0|||修煉之旅|0|0|0|0|0||0||0|0|0|0|0|-2006
2|1|3|6|1||0|||通靈者的認可|0|0|0|0|0||0||0|0|0|0|0|105
3|2|4|1|1||0|||冰之亡靈塔|0|0|0|0|0||0||0|0|0|0|0|-2001
4|3|5|2|1||0|||火之亡靈塔 |0|0|0|0|0||0||0|0|0|0|0|-2002
5|4|6|3|1||0|||地之亡靈塔 |0|0|0|0|0||0||0|0|0|0|0|-2003
6|5|7|4|1||0|||光之亡靈塔 |0|0|0|0|0||0||0|0|0|0|0|-2004
7|6|8|5|1||0|||暗之亡靈塔 |0|0|0|0|0||0||0|0|0|0|0|-2005
8|7|9|6|1||0|||第一階段封印|0|0|0|0|0||0||0|0|0|0|0|286
9|8|10|1|1||0|||深海的龍殿|0|0|0|0|0||0||0|0|0|0|0|-2001
10|9|11|2|1||0|||炎族的宴會|0|0|0|0|0||0||0|0|0|0|0|-2002
11|10|12|3|1||0|||果園的稀客|0|0|0|0|0||0||0|0|0|0|0|-2003
12|11|13|4|1||0|||高雅的皇宮|0|0|0|0|0||0||0|0|0|0|0|-2004
13|12|14|5|1||0|||幽谷的盛宴|0|0|0|0|0||0||0|0|0|0|0|-2005
14|13|15|6|1||0|||第二階段封印|0|0|0|0|0||0||0|0|0|0|0|288
15|14|16|1|1||0|||冰川上飄溜的精靈|0|0|0|0|0||0||0|0|0|0|0|-2001
16|15|17|2|1||0|||火焰上烈舞的精靈|0|0|0|0|0||0||0|0|0|0|0|-2002
17|16|18|3|1||0|||深山中高歌的精靈|0|0|0|0|0||0||0|0|0|0|0|-2003
18|17|19|4|1||0|||暮光下閃耀的精靈|0|0|0|0|0||0||0|0|0|0|0|-2004
19|18|20|5|1||0|||暗夜裡狩獵的精靈|0|0|0|0|0||0||0|0|0|0|0|-2005
