col_1|col_2|col_3|col_4|col_5|col_6|col_7|col_8|col_9|col_10|col_11|col_12|col_13|col_14|col_15|col_16|col_17|col_18|col_19|col_20|col_21|col_22|col_23|col_24
1|0|2|6|0||0|||The Journey of Practice|0|0|0|0|0||0||0|0|0|0|0|-2006
2|1|3|6|1||0|||The Approval as a Summoner|0|0|0|0|0||0||0|0|0|0|0|105
3|2|4|1|1||0|||Hollow Citadel of Water|0|0|0|0|0||0||0|0|0|0|0|-2001
4|3|5|2|1||0|||Hollow Citadel of Fire|0|0|0|0|0||0||0|0|0|0|0|-2002
5|4|6|3|1||0|||Hollow Citadel of Earth|0|0|0|0|0||0||0|0|0|0|0|-2003
6|5|7|4|1||0|||Hollow Citadel of Light|0|0|0|0|0||0||0|0|0|0|0|-2004
7|6|8|5|1||0|||Hollow Citadel of Darkness|0|0|0|0|0||0||0|0|0|0|0|-2005
8|7|9|6|1||0|||The First Seal|0|0|0|0|0||0||0|0|0|0|0|286
9|8|10|1|1||0|||Dragon Palace under the Sea|0|0|0|0|0||0||0|0|0|0|0|-2001
10|9|11|2|1||0|||The Feast of the Fire Tribe|0|0|0|0|0||0||0|0|0|0|0|-2002
11|10|12|3|1||0|||Rare Visitors of the Orchard|0|0|0|0|0||0||0|0|0|0|0|-2003
12|11|13|4|1||0|||The Grand Palace|0|0|0|0|0||0||0|0|0|0|0|-2004
13|12|14|5|1||0|||Banquet in the Glens|0|0|0|0|0||0||0|0|0|0|0|-2005
14|13|15|6|1||0|||The Second Seal|0|0|0|0|0||0||0|0|0|0|0|288
15|14|16|1|1||0|||The Skating Elf on the Glacier|0|0|0|0|0||0||0|0|0|0|0|-2001
16|15|17|2|1||0|||The Fire-dancing Elf in the Flame|0|0|0|0|0||0||0|0|0|0|0|-2002
17|16|18|3|1||0|||The Singing Elf in the Mountains|0|0|0|0|0||0||0|0|0|0|0|-2003
18|17|19|4|1||0|||The Sparkling Elf under the Twilight|0|0|0|0|0||0||0|0|0|0|0|-2004
19|18|20|5|1||0|||The Hunting Elf in the Dark|0|0|0|0|0||0||0|0|0|0|0|-2005
20|19|21|6|1||0|||The Third Seal|0|0|0|0|0||0||0|0|0|0|0|287
21|20|22|1|1||0|||Ambush under the Water|0|0|0|0|0||0||0|0|0|0|0|-2001
22|21|23|2|1||0|||The Burning Metal|0|0|0|0|0||0||0|0|0|0|0|-2002
23|22|24|3|1||0|||The Rock in the Wild|0|0|0|0|0||0||0|0|0|0|0|-2003
24|23|25|4|1||0|||The Guidance of the Sacred Light|0|0|0|0|0||0||0|0|0|0|0|-2004
25|24|26|5|1||0|||Evils in the Nightmare|0|0|0|0|0||0||0|0|0|0|0|-2005
26|25|27|6|1||0|||The Fourth Seal|0|0|0|0|0||0||0|0|0|0|0|285
27|26|28|1|1||0|||The Deep Abyss|0|0|0|0|0||0||0|0|0|0|0|-2001
28|27|29|2|1||0|||The Bloody Mount|0|0|0|0|0||0||0|0|0|0|0|-2002
29|28|30|3|1||0|||The Cliff of War|0|0|0|0|0||0||0|0|0|0|0|-2003
30|29|31|4|1||0|||The Blessings of Gods|0|0|0|0|0||0||0|0|0|0|0|-2004
31|30|32|5|1||0|||The Evil Tattoo|0|0|0|0|0||0||0|0|0|0|0|-2005
32|31|87|6|1||0|||The Last Seal|0|0|0|0|0||0||0|0|0|0|0|290
